city,year,month,day,avg(la),avg(AQI),avg(lo)
北京,2018,8,13,38.0,57.28947368421053,115.0
天津,2018,8,6,39.0,54.77884615384615,117.0
青岛,2019,2,20,36.0,191.66666666666666,119.0
厦门,2018,8,24,25.0,29.875,119.0
昆明,2018,8,9,25.0,39.407407407407405,102.0
郑州,2019,2,16,33.0,139.1551724137931,113.0
天津,2019,1,11,40.0,110.22413793103448,116.0
上海,2018,8,31,30.0,33.39705882352941,120.0
郑州,2019,1,22,35.0,62.210144927536234,112.0
海口,2019,1,1,20.0,44.82,110.0
天津,2019,2,19,40.0,60.65384615384615,116.0
上海,2018,8,1,30.0,37.104166666666664,120.0
青岛,2019,1,18,37.0,111.25,119.0
北京,2019,2,17,39.0,24.857142857142858,116.0
天津,2019,1,28,39.0,62.30252100840336,116.0
成都,2019,2,23,30.0,107.53781512605042,103.0
济南,2018,8,19,37.0,15.947368421052632,116.0
北京,2019,2,9,39.0,31.8,117.0
北京,2019,2,27,38.0,81.43478260869566,117.0
厦门,2019,2,1,25.0,22.272727272727273,118.0
北京,2019,2,7,39.0,35.613545816733065,116.0
北京,2019,1,1,39.0,87.14864864864865,117.0
成都,2019,1,13,31.0,54.416666666666664,103.0
上海,2019,6,10,30.0,65.93617021276596,120.0
乌鲁木齐,2018,8,24,42.0,60.0,89.0
北京,2018,8,31,39.0,43.257936507936506,116.0
厦门,2019,6,8,24.0,34.369565217391305,118.0
青岛,2018,8,5,36.0,46.961832061068705,120.0
青岛,2019,2,3,36.0,152.9787234042553,119.0
呼和浩特,2019,2,27,40.0,59.18518518518518,111.0
郑州,2019,1,7,35.0,177.70833333333334,113.0
郑州,2018,8,4,34.0,86.19393939393939,113.0
青岛,2018,8,26,37.0,40.333333333333336,119.0
厦门,2019,2,14,25.0,20.095238095238095,118.0
天津,2018,8,2,39.0,87.11737089201878,117.0
上海,2019,1,6,31.0,36.595238095238095,121.0
厦门,2019,2,13,24.0,58.528301886792455,117.0
济南,2018,8,28,36.0,59.05555555555556,116.0
郑州,2018,8,1,34.0,58.95454545454545,114.0
郑州,2018,8,1,35.0,54.59842519685039,112.0
济南,2018,8,14,35.0,33.0,115.0
郑州,2018,8,16,34.0,41.07086614173228,113.0
厦门,2019,1,31,25.0,37.578947368421055,118.0
上海,2019,1,21,32.0,84.05714285714286,120.0
天津,2019,1,1,39.0,65.88068181818181,116.0
海口,2019,2,5,20.0,36.125,110.0
天津,2018,8,4,38.0,64.53703703703704,117.0
济南,2019,1,19,37.0,142.47222222222223,116.0
乌鲁木齐,2019,6,8,43.0,40.57303370786517,87.0
厦门,2018,8,3,24.0,47.41463414634146,117.0
北京,2019,1,23,38.0,110.23404255319149,115.0
郑州,2019,1,6,35.0,128.39583333333334,113.0
天津,2018,8,13,39.0,76.52475247524752,116.0
北京,2018,8,12,38.0,48.61333333333334,115.0
成都,2019,2,25,31.0,91.9047619047619,104.0
成都,2018,8,23,31.0,56.94117647058823,103.0
呼和浩特,2018,8,25,40.0,53.672,111.0
厦门,2018,8,25,24.0,31.214285714285715,117.0
天津,2019,1,21,40.0,57.34782608695652,116.0
成都,2019,1,6,30.0,116.1923076923077,104.0
乌鲁木齐,2019,1,6,42.0,312.1041666666667,89.0
厦门,2019,1,21,24.0,89.02857142857142,117.0
呼和浩特,2018,8,22,41.0,66.61111111111111,111.0
青岛,2019,2,23,35.0,177.27906976744185,120.0
上海,2019,2,8,32.0,30.369230769230768,120.0
海口,2019,6,10,20.0,29.123287671232877,110.0
北京,2019,2,2,40.0,132.18018018018017,116.0
上海,2019,2,16,30.0,64.50769230769231,120.0
青岛,2019,1,3,35.0,200.28947368421052,120.0
青岛,2019,1,10,35.0,67.51724137931035,120.0
郑州,2018,8,12,35.0,85.0677966101695,112.0
乌鲁木齐,2018,8,1,42.0,45.95652173913044,89.0
上海,2018,8,11,32.0,46.6140350877193,120.0
上海,2019,2,23,30.0,130.8360655737705,120.0
济南,2019,2,12,36.0,158.49407114624506,117.0
北京,2019,1,2,39.0,94.07860262008734,116.0
天津,2019,1,8,39.0,69.85925925925926,118.0
青岛,2018,8,24,37.0,50.5,119.0
青岛,2019,2,13,37.0,70.21052631578948,119.0
北京,2018,8,20,38.0,49.205479452054796,115.0
乌鲁木齐,2018,8,21,44.0,105.82608695652173,87.0
昆明,2018,8,13,24.0,51.13513513513514,102.0
厦门,2019,1,17,25.0,38.9,118.0
上海,2019,2,24,31.0,126.91891891891892,121.0
天津,2019,2,19,39.0,120.57377049180327,117.0
天津,2018,8,5,39.0,51.8562091503268,116.0
上海,2019,1,25,30.0,92.97142857142858,120.0
天津,2018,8,27,39.0,69.85576923076923,117.0
昆明,2019,1,19,24.0,41.118811881188115,102.0
乌鲁木齐,2018,8,1,44.0,86.97560975609755,87.0
天津,2019,2,24,39.0,158.29166666666666,116.0
昆明,2019,1,12,25.0,34.666666666666664,103.0
昆明,2018,8,26,24.0,34.666666666666664,102.0
青岛,2018,8,8,36.0,80.05555555555556,119.0
厦门,2019,2,19,24.0,61.459016393442624,117.0
海口,2018,8,1,20.0,28.632183908045977,110.0
成都,2019,1,28,30.0,96.66808510638297,104.0
海口,2019,1,24,19.0,51.921052631578945,110.0
青岛,2019,2,25,35.0,151.36363636363637,120.0
郑州,2019,2,12,34.0,133.18333333333334,114.0
郑州,2019,1,20,35.0,166.08602150537635,113.0
乌鲁木齐,2018,8,7,43.0,41.07142857142857,88.0
上海,2019,2,5,31.0,70.9770642201835,120.0
青岛,2018,8,27,35.0,40.18181818181818,120.0
成都,2019,1,12,31.0,44.0,103.0
天津,2019,1,8,38.0,41.58064516129032,117.0
济南,2019,1,7,36.0,248.13669064748203,116.0
郑州,2018,8,5,34.0,56.347457627118644,113.0
北京,2019,1,18,39.0,123.27091633466135,116.0
乌鲁木齐,2019,1,14,42.0,189.25714285714287,89.0
上海,2018,8,5,31.0,44.95294117647059,121.0
天津,2018,8,3,39.0,77.33333333333333,116.0
成都,2019,2,14,30.0,79.64655172413794,103.0
乌鲁木齐,2018,8,19,42.0,79.22222222222223,89.0
天津,2019,2,11,38.0,143.640625,117.0
天津,2019,1,11,39.0,263.86619718309856,117.0
上海,2019,2,5,30.0,67.85714285714286,120.0
成都,2019,6,8,30.0,54.91558441558441,104.0
乌鲁木齐,2018,8,7,42.0,57.05555555555556,89.0
昆明,2019,1,18,25.0,39.59090909090909,103.0
成都,2019,1,8,30.0,134.51063829787233,103.0
上海,2018,8,30,30.0,35.666666666666664,120.0
北京,2018,8,25,39.0,75.41450777202073,116.0
天津,2018,8,19,39.0,35.473958333333336,117.0
乌鲁木齐,2019,1,24,43.0,235.80701754385964,87.0
北京,2019,1,17,40.0,53.3728813559322,116.0
昆明,2019,2,1,24.0,40.589473684210525,102.0
上海,2018,8,2,31.0,38.92285714285714,120.0
厦门,2019,2,17,25.0,20.333333333333332,118.0
呼和浩特,2018,8,18,40.0,43.43119266055046,111.0
乌鲁木齐,2019,2,20,42.0,133.44444444444446,89.0
乌鲁木齐,2019,1,15,43.0,158.5818181818182,87.0
乌鲁木齐,2019,1,13,42.0,214.21052631578948,89.0
上海,2019,1,1,30.0,61.9811320754717,120.0
厦门,2019,6,9,24.0,42.0,117.0
厦门,2018,8,3,25.0,49.46153846153846,118.0
青岛,2019,1,11,36.0,190.57142857142858,119.0
天津,2018,8,22,40.0,36.74285714285714,116.0
济南,2019,1,1,36.0,189.76923076923077,115.0
郑州,2018,8,12,35.0,64.40298507462687,113.0
厦门,2019,1,5,25.0,34.76923076923077,118.0
厦门,2019,6,9,24.0,31.47752808988764,118.0
北京,2019,1,5,38.0,133.45833333333334,115.0
海口,2018,8,3,19.0,25.24390243902439,110.0
天津,2019,2,23,38.0,99.14285714285714,117.0
郑州,2019,1,14,34.0,269.05194805194805,114.0
厦门,2018,8,5,24.0,36.5,117.0
郑州,2019,2,13,33.0,199.34408602150538,113.0
海口,2019,1,25,19.0,47.04255319148936,110.0
成都,2019,2,12,30.0,46.98,103.0
昆明,2019,2,12,24.0,60.795698924731184,102.0
海口,2018,8,20,19.0,28.2,110.0
北京,2019,1,31,39.0,38.273972602739725,117.0
天津,2019,2,1,39.0,104.16304347826087,117.0
北京,2019,1,1,39.0,63.93650793650794,116.0
乌鲁木齐,2019,2,22,43.0,63.52173913043478,87.0
成都,2019,2,5,30.0,143.47863247863248,103.0
济南,2019,2,26,37.0,151.08695652173913,116.0
成都,2019,2,12,31.0,55.15384615384615,104.0
乌鲁木齐,2019,6,10,44.0,42.03333333333333,87.0
乌鲁木齐,2019,6,10,43.0,32.333333333333336,88.0
青岛,2018,8,2,37.0,66.43478260869566,119.0
成都,2018,8,22,31.0,33.5625,103.0
厦门,2018,8,6,24.0,72.8,117.0
郑州,2018,8,2,35.0,79.28260869565217,112.0
乌鲁木齐,2019,2,21,42.0,131.8684210526316,89.0
北京,2019,1,2,38.0,155.42857142857142,117.0
乌鲁木齐,2019,2,3,42.0,123.6875,89.0
北京,2018,8,20,39.0,55.44615384615385,117.0
济南,2018,8,9,35.0,77.88888888888889,115.0
上海,2019,1,15,30.0,120.52307692307693,120.0
呼和浩特,2018,8,24,40.0,51.64473684210526,111.0
上海,2019,1,1,32.0,48.5945945945946,120.0
天津,2019,2,22,40.0,73.59375,116.0
郑州,2018,8,6,33.0,64.45161290322581,113.0
北京,2019,2,1,38.0,98.625,117.0
上海,2018,8,3,31.0,26.836734693877553,121.0
乌鲁木齐,2018,8,8,42.0,63.388888888888886,89.0
昆明,2018,8,1,25.0,46.645161290322584,102.0
上海,2019,1,20,30.0,146.7941176470588,120.0
北京,2019,1,5,39.0,36.13483146067416,117.0
昆明,2019,1,14,25.0,39.02127659574468,103.0
厦门,2018,8,27,24.0,33.77235772357724,118.0
北京,2019,2,20,39.0,110.69142857142857,116.0
厦门,2019,1,27,24.0,75.55714285714286,117.0
天津,2019,2,1,38.0,95.68055555555556,117.0
呼和浩特,2019,2,12,40.0,44.5668449197861,111.0
济南,2018,8,27,36.0,71.8018018018018,116.0
天津,2019,2,3,39.0,113.44827586206897,116.0
昆明,2019,1,23,25.0,47.17777777777778,103.0
青岛,2019,2,28,35.0,99.05970149253731,119.0
成都,2019,1,26,31.0,109.54166666666667,103.0
昆明,2018,8,10,24.0,40.285714285714285,102.0
郑州,2019,1,27,35.0,119.0909090909091,112.0
上海,2019,1,20,32.0,102.4776119402985,120.0
乌鲁木齐,2018,8,14,44.0,38.935483870967744,87.0
昆明,2019,1,25,25.0,52.0,102.0
青岛,2018,8,4,36.0,49.875,119.0
天津,2019,1,13,39.0,276.21830985915494,118.0
青岛,2019,2,2,35.0,132.75,119.0
济南,2019,6,8,37.0,62.083333333333336,116.0
乌鲁木齐,2018,8,5,43.0,36.833333333333336,88.0
乌鲁木齐,2019,2,21,43.0,178.24752475247524,87.0
天津,2019,1,2,39.0,94.02118644067797,117.0
厦门,2019,2,28,25.0,51.827586206896555,119.0
成都,2019,2,15,31.0,36.875,103.0
济南,2019,1,12,36.0,216.3014705882353,116.0
郑州,2019,1,21,34.0,91.86021505376344,114.0
天津,2019,1,2,38.0,127.67307692307692,117.0
成都,2019,1,20,30.0,98.78571428571429,104.0
昆明,2019,1,31,24.0,42.0,102.0
天津,2019,1,15,39.0,61.57142857142857,117.0
北京,2019,2,22,38.0,313.4347826086956,115.0
成都,2019,2,22,31.0,110.58282208588957,104.0
厦门,2019,1,21,25.0,85.36842105263158,119.0
郑州,2019,2,27,34.0,157.5440414507772,113.0
北京,2019,1,2,40.0,49.57954545454545,116.0
厦门,2019,2,4,25.0,77.66666666666667,119.0
北京,2019,1,18,38.0,219.53191489361703,115.0
海口,2019,2,20,19.0,18.916666666666668,110.0
北京,2019,1,27,39.0,124.47826086956522,117.0
厦门,2018,8,8,24.0,55.958333333333336,117.0
北京,2019,2,10,39.0,51.64016736401673,116.0
成都,2018,8,24,30.0,80.60714285714286,104.0
济南,2018,8,16,36.0,33.96875,115.0
乌鲁木齐,2018,8,31,43.0,39.835443037974684,87.0
上海,2018,8,23,31.0,53.16228070175438,121.0
昆明,2018,8,3,25.0,41.14772727272727,102.0
